房源编号,名称1,户型,月租,付款方式,租赁方式,面积,朝向,维护,楼层,车位,租期,入住,电梯,描述,地铁站,离地铁站距离,网站,名称,区,街道,小区
房源编号：SH2757177115227979776,整租·绿洲康城亲水湾(中央区),3室2厅,8800,(季付价),整租,106㎡,南,今天,低楼层/17层,暂无数据,2年以内,随时入住,有,"【房源亮点】<br />
户型方正，装修风格简约，面积大，客餐厅面积宽敞，高楼层采光充足，阳台大，生活方便。主卧带飘窗，采光通风好。<br />
<br />
【交通出行】<br />
小区门口共享单车充足，方便出行。 地下充电桩方便停车，地上停车方便，随到随停。 地铁11号线御桥站约1.5公里，乘坐地铁出行方便，康桥路上有康桥路御秀路公交车站，有632路，779路，南南线，周康1路，779路公交车可达陆家嘴地铁站<br />
<br />
【周边配套】<br />
亲水湾菜市场。小区门口有如海超市、喜士多、美团买菜、留夫鸭、沙县小吃等，基本满足日常需求，2公里内东郊百联购物商场，万科2049购物商场，宜家等，吃住行游购娱一体化<br />
<br />
【小区介绍】<br />
亲水湾中区分为2007-2018年分5批次交付，开发商是上海振龙房地产有限公司，物业是上海中远物业管理发展有限公司，小区门口保安24小时值班，人车分流，环境优美，居住舒适。生活设施配备齐全，给您更舒适的居住环境。<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2757177115227979776.html,"
          整租·绿洲康城亲水湾(中央区) 3室2厅 南        ",浦东,御桥,绿洲康城亲水湾(中央区)
房源编号：SH2757113765517328384,整租·中福花苑,1室1厅,8000,(季付价),整租,60㎡,北,2天前,低楼层/15层,暂无数据,1年以内,随时入住,有,"【交通出行】<br />
楼下4号线南浦大桥站，一站可达浦东塘桥、西藏南路，沿9号线可至徐家汇，沿13号线可至南京西路、浦东世博园，更有南浦大桥公交总站有89、43、64、109、303、305、327路等。<br />
<br />
【周边配套】<br />
公园：蓬莱公园800米！ 超市：联华、迪亚天天 小区楼下影院：大光明影院1.5KM，塘桥翰金影院1.9KM 滨江跑道：距离黄浦江800米，滨江跑道长8.3公里！ 8·9号线陆家浜路地铁站。<br />
<br />
【小区介绍】<br />
03年小区，楼下巴洛斯咖啡厅，盒马鲜生，银行，医院，等，配套齐全。还有蓬莱公园、黄埔滨江跑道供休息时消遣。<br />
<br />
",4号线 - 南浦大桥,289m,http://sh.lianjia.com/zufang/SH2757113765517328384.html,"
          整租·中福花苑 1室1厅 复式 北        ",黄浦,蓬莱公园,中福花苑
房源编号：SH2757751741209649152,整租·万春小区,2室1厅,9100,无信息,整租,69㎡,南,3天前,中楼层/7层,暂无数据,暂无数据,随时入住,无,"【交通出行】<br />
小区楼下有45、32等公交车站点， 另有7号线昌平路，2号线/11号线江苏站地铁站与13号线武宁站地铁站 出行方便 交通便利，共享单车多。步行即可到芳汇广场，悦达889，长宁88，元华超市 吃喝玩乐就在旁边方便,提升生活乐趣 改善生活品质。<br />
<br />
【周边配套】<br />
步行即可到芳汇广场，悦达889，长宁88，元华超市 吃喝玩乐就在旁边方便,提升生活乐趣 改善生活品质。<br />
<br />
【小区介绍】<br />
环境优美 适宜居住 人文素质高 物业管理完善 1992年的小区 社区环境好 小区自住率高，人员单纯，小区的生活气息很浓厚。<br />
<br />
",13号线 - 武宁路,784m,http://sh.lianjia.com/zufang/SH2757751741209649152.html,"
          整租·万春小区 2室1厅 南        ",静安,曹家渡,万春小区
房源编号：SH2756530624159285248,整租·名都新城（三期）,2室2厅,9000,(季付价),整租,98㎡,南,3天前,中楼层/15层,暂无数据,暂无数据,随时入住,有,"【房源亮点】<br />
小区品质很好，小桥流水人家，房型很正气南北通透，精装修，整体干净清爽。<br />
<br />
【户型介绍】<br />
小区品质很好，小桥流水人家，房型很正气南北通透，精装修，整体干净清爽。<br />
<br />
【交通出行】<br />
有仲盛购物广场，有闵行区图书馆，有上海城市剧院，有人民公园，紧挨一号线五号线莘庄站<br />
<br />
【周边配套】<br />
有仲盛购物广场，有闵行区图书馆，有上海城市剧院，有人民公园，紧挨一号线五号线莘庄站<br />
<br />
【小区介绍】<br />
小区环境优雅安静，绿化高，居住舒适，是莘庄南广场少见的高品质住宅区。<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2756530624159285248.html,"
          整租·名都新城（三期） 2室2厅 南        ",闵行,莘庄,名都新城（三期）
房源编号：SH2757201529978503168,整租·桃浦十村（紫藤苑小区白丽路701弄）,2室1厅,4600,(季付价),整租,58㎡,南,10天前,低楼层/6层,暂无数据,暂无数据,随时入住,无,无信息,"11号线(嘉定北-迪士尼),11号线(花桥-迪士尼) - 桃浦新村",811m,http://sh.lianjia.com/zufang/SH2757201529978503168.html,"
          整租·桃浦十村（紫藤苑小区白丽路701弄） 2室1厅 南        ",普陀,桃浦,桃浦十村（紫藤苑小区白丽路701弄）
房源编号：SH2756595578862575616,整租·宝华现代城,2室2厅,13000,(季付价),整租,101㎡,南 北,1天前,低楼层/27层,暂无数据,3年以内,随时入住,有,"【交通出行】<br />
地铁一号线马戏城站100米，通往火车站2站，人民广场5站，广中路和共和新路交叉口可上高架桥，公交站：46路、916路、912路、253路、210路、95路、741路。 上下班十分便利。<br />
<br />
【周边配套】<br />
大宁音乐广场，大宁国际，大宁大润发，久光百货，马戏城，静安网球馆，灵石公园<br />
<br />
【小区介绍】<br />
宝华二期是2011年的小区，小区是品质商品房，物业是安荣物业，管理也好。小区环境好！绿树成荫，小桥流水，一步一景，四季分明。仿佛置身大自然，舒适的小区环境带给您愉悦的心情。<br />
<br />
",1号线 - 上海马戏城,299m,http://sh.lianjia.com/zufang/SH2756595578862575616.html,"
          整租·宝华现代城 2室2厅 南/北        ",静安,大宁,宝华现代城
房源编号：SH2757242215289339904,整租·东原碧桂园,3室2厅,4500,(季付价),整租,90㎡,南 北,1天前,中楼层/15层,暂无数据,2年以内,随时入住,无,无信息,17号线 - 淀山湖大道,601m,http://sh.lianjia.com/zufang/SH2757242215289339904.html,"
          整租·东原碧桂园 3室2厅 南/北        ",青浦,盈浦,东原碧桂园
房源编号：SH2757224704782630912,整租·东方帕堤欧,3室2厅,7800,(季付价),整租,181㎡,南,3天前,低楼层/3层,暂无数据,1年以内,随时入住,有,无信息,"7号线,15号线 - 顾村公园",1159m,http://sh.lianjia.com/zufang/SH2757224704782630912.html,"
          整租·东方帕堤欧 3室2厅 南        ",宝山,顾村,东方帕堤欧
房源编号：SH2757264242255339520,整租·东湖小区,2室2厅,7500,(季付价),整租,61㎡,南,4天前,高楼层/6层,暂无数据,3年以内,2021/5/14,无,"【交通出行】<br />
东湖小区位于虹桥路1776弄，小区门口各种公交线路，有地铁10号线水城路站<br />
<br />
【周边配套】<br />
地铁口，配套成熟，近古北家乐福，星空广场 东湖小区位于虹桥路1776弄，小区门口各种公交线路<br />
<br />
【小区介绍】<br />
低密度住宅，地铁口，配套成熟，近古北家乐福，星空广场 东湖小区位于虹桥路1776弄，小区门口各种公交线路，有地铁10号线水城路站 ，星空广场。<br />
<br />
","10号线(新江湾城-虹桥火车站),10号线(新江湾城-航中路) - 水城路",154m,http://sh.lianjia.com/zufang/SH2757264242255339520.html,"
          整租·东湖小区 2室2厅 南        ",长宁,古北,东湖小区
房源编号：SH2757351466422509568,整租·舜峰家苑,3室1厅,5000,(季付价),整租,76㎡,南,5天前,高楼层/11层,租用车位,2年以内,随时入住,有,"【房源亮点】<br />
户型方正，布局合理，房子改造后的空间感觉更大了，三室一厅每个空间面积都很合适，房子全明通风效果好<br />
<br />
【户型介绍】<br />
户型方正，原始两室户型，现在改造成三室的，一个房间朝东，i一个房间朝南，一个房间朝北，房间面积都不小<br />
<br />
【装修描述】<br />
房子是房东去年10月份刚买的，重新装修了出租的，里面家具家电都是新的，使用的材料是环保材料无异味<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2757351466422509568.html,"
          整租·舜峰家苑 3室1厅 南        ",浦东,曹路,舜峰家苑
房源编号：SH2756608642911576064,整租·尚海郦景,2室2厅,19000,(季付价),整租,105㎡,南,今天,高楼层/32层,暂无数据,3年以内,随时入住,有,"【房源亮点】<br />
郦景精装修高区全南两房，景观极 佳，中 央空调带地暖，家具家电全配，业主精心装修，浪漫法式装修。<br />
<br />
【装修描述】<br />
郦景精装修高区全南两房，中 央空调带地暖，家具家电全配，业主精心装修，浪漫法式装修。<br />
<br />
【交通出行】<br />
距离6号线民生路站900米、6号线源深体育馆站800米 公交：桃林路乳山路819路、970路、隧道6线 873路 744路 522路 787路 819路 970路 573路 等。<br />
<br />
【出租原因】<br />
房子租客快到期了，房东自己也用不着，不想房子空着，继续出租，适合陆家嘴上班的白领。<br />
<br />
【周边配套】<br />
百联世纪购物中 心，滨江光合新座，栖山农贸市场，全家便利店(民生四店)，全家便利店(张扬二店)，五金建材批发部，联华超市(八方大厦北)，龙发装饰(张杨路店)，全家(民生路五店)，源深泳衣用品店<br />
<br />
【小区介绍】<br />
尚海郦景位于上海市浦东源深，由上海地产（集团）有限公司建成，总建筑面积286000，总占地面积115786，共计房屋1696户，小区物业公司为上海新古北物业管理有限公司。<br />
<br />
",6号线 - 民生路,710m,http://sh.lianjia.com/zufang/SH2756608642911576064.html,"
          整租·尚海郦景 2室2厅 南        ",浦东,梅园,尚海郦景
房源编号：SH2757278923997061120,整租·紫都上海晶园,5室3厅,55000,(季付价),整租,478㎡,南,7天前,低楼层/2层,暂无数据,暂无数据,随时入住,无,"【交通出行】<br />
地铁9号线佘山站，地铁站有公交站，公共交通便捷；距G50高速赵巷入口4.8KM，出行方便。<br />
<br />
【周边配套】<br />
离小区800米就是佘山老街，吃喝玩乐配套齐全，松江万达泰晤士小镇 8.9公里<br />
<br />
【小区介绍】<br />
七大haozhai之一，纯独栋别墅小区，会所含恒温泳池和网球场，户户独立车库大花园，花园800-1600平。外立面干挂石材和手工绘刻，且隔音隔热，绿化很高。<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2757278923997061120.html,"
          整租·紫都上海晶园 5室3厅 南        ",松江,佘山,紫都上海晶园
房源编号：SH2756530588927401984,整租·海上硕和城,2室2厅,10500,(季付价),整租,108㎡,南,今天,高楼层/18层,暂无数据,1年以内,随时入住,有,"【房源亮点】<br />
8号线翔殷路地铁站走路五百米，近五角场。  购物生活都很方便<br />
<br />
【户型介绍】<br />
标准两房两厅，三朝南，    适合情侣两个人或一家人入住<br />
<br />
【装修描述】<br />
1.自住精装，无异味无甲醛。<br />
2.热水器，冰箱，洗衣机，油烟机，家电齐全，生活便利。<br />
3.储物收纳空间丰富，空间利用极好。<br />
<br />
",8号线 - 翔殷路,373m,http://sh.lianjia.com/zufang/SH2756530588927401984.html,"
          整租·海上硕和城 2室2厅 南        ",杨浦,黄兴公园,海上硕和城
房源编号：SH2756554860416737280,整租·东泉新村,3室1厅,2500,(季付价),整租,95㎡,南 北,今天,中楼层/6层,租用车位,1年以内,随时入住,无,"【户型介绍】<br />
双南一北，动静分离，干湿分离<br />
<br />
【装修描述】<br />
2000年的简装房，业主保养的较好！<br />
<br />
【交通出行】<br />
上石线【石化汽车站——上海南站】<br />
金张卫支线【金山卫南广场东站——金山汽车站】<br />
金山11路【金山卫站——市公共卫生临床】<br />
<br />
【出租原因】<br />
房屋空置，业主不想白白浪费资源！<br />
<br />
【周边配套】<br />
距【百联购物】1.2公里<br />
距【华润万家】502米<br />
距【嘴鱼村】旅游景区3.5公里<br />
<br />
【小区介绍】<br />
绿化38%，1997年开工的项目，当时ZF重大实施项目，由山阳房产承建<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2756554860416737280.html,"
          整租·东泉新村 3室1厅 南/北        ",金山,金山,东泉新村
